Summary,Issue Type,Priority,Epic Name,Epic Link,Component/s,Labels,Assignee,Original Estimate,Description
[INFRA-013] HTTPS 강제 및 CORS 설정,Task,Highest,,공통 인프라,공통 모듈,Must,"담당자A",4h,보안 기본 설정
[INFRA-014] 하단 네비게이션 탭 바 구현,Story,Highest,,공통 인프라,공통 FE,Must,"담당자A",8h,홈/시착/프로필 하단 탭 바 컴포넌트
[INFRA-015] 화면 간 라우팅 및 네비게이션 스택 구현,Task,Highest,,공통 인프라,공통 FE,Must,"담당자A",8h,전체 화면 라우팅 설정
[INFRA-016] 공통 네트워크 에러 핸들러 구현,Task,Highest,,공통 인프라,공통 FE,Must,"담당자A",8h,오프라인 배너 / 토큰 만료 자동 갱신 포함
[INFRA-017] 공통 이미지 피커 컴포넌트 구현,Story,Highest,,공통 인프라,공통 FE,Must,"담당자A",8h,갤러리/카메라 선택 / 포맷/용량 클라이언트 검증
[INFRA-018] 공통 로딩/토스트 컴포넌트 구현,Story,Highest,,공통 인프라,공통 FE,Must,"담당자A",4h,로딩 인디케이터 및 토스트 메시지
[INFRA-019] 공통 확인 다이얼로그 컴포넌트 구현,Story,Highest,,공통 인프라,공통 FE,Must,"담당자A",4h,확인/취소 다이얼로그
[INFRA-020] 공통 바텀시트 컴포넌트 구현,Story,Highest,,공통 인프라,공통 FE,Must,"담당자A",4h,바텀시트 공통 컴포넌트
[AUTH-001] 카카오 OAuth2 Provider 연동 구현,Story,Highest,,인증/사용자,소셜 로그인,Must,"담당자B",12h,POST /auth/social (provider=kakao)
[AUTH-002] 네이버 OAuth2 Provider 연동 구현,Story,Highest,,인증/사용자,소셜 로그인,Must,"담당자B",12h,POST /auth/social (provider=naver)
[AUTH-003] 구글 OAuth2 Provider 연동 구현,Story,Highest,,인증/사용자,소셜 로그인,Must,"담당자B",12h,POST /auth/social (provider=google)
[AUTH-004] 소셜 로그인 공통 서비스 레이어 구현,Task,Highest,,인증/사용자,소셜 로그인,Must,"담당자B",8h,provider 분기 / 신규-기존 사용자 처리
[AUTH-005] SCR-003 로그인 화면 UI 구현,Story,Highest,,인증/사용자,소셜 로그인,Must,"담당자B",8h,카카오/네이버/구글 로그인 버튼 화면
[AUTH-006] OAuth2 소셜 로그인 클라이언트 연동,Task,Highest,,인증/사용자,소셜 로그인,Must,"담당자B",12h,소셜 로그인 FE 연동 로직
[AUTH-007] JWT Access/Refresh Token 발급 로직 구현,Task,Highest,,인증/사용자,JWT 인증,Must,"담당자B",8h,JWT 토큰 발급 모듈
[AUTH-008] 토큰 갱신 API 구현,Story,Highest,,인증/사용자,JWT 인증,Must,"담당자B",4h,POST /auth/refresh
[AUTH-009] JWT 인터셉터/필터 구현,Task,Highest,,인증/사용자,JWT 인증,Must,"담당자B",8h,Spring Security Filter 인증 미들웨어
[AUTH-010] 로그아웃 API 구현,Story,Highest,,인증/사용자,JWT 인증,Must,"담당자B",4h,DELETE /auth/logout 토큰 무효화
[AUTH-011] JWT 토큰 저장/갱신/만료 클라이언트 로직,Task,Highest,,인증/사용자,JWT 인증,Must,"담당자B",8h,자동 갱신 포함 토큰 관리 FE 모듈
[AUTH-012] users 테이블 Entity 및 Repository 구현,Task,Highest,,인증/사용자,사용자 관리,Must,"담당자B",4h,User Entity/Repository
[AUTH-013] 내 정보 조회 API 구현,Story,Highest,,인증/사용자,사용자 관리,Must,"담당자B",4h,GET /users/me
[AUTH-014] 프로필 수정 API 구현,Story,Highest,,인증/사용자,사용자 관리,Must,"담당자B",4h,PATCH /users/me (닉네임/bio/프로필이미지)
[AUTH-015] 회원 탈퇴 API 구현,Story,Highest,,인증/사용자,사용자 관리,Must,"담당자B",4h,DELETE /users/me 소프트 딜리트
[AUTH-016] 타인 프로필 조회 API 구현,Story,Highest,,인증/사용자,사용자 관리,Must,"담당자B",4h,GET /users/{user_id} 팔로워/팔로잉 수 포함
[AUTH-017] 사용자 게시물 목록 API 구현,Story,Highest,,인증/사용자,사용자 관리,Must,"담당자B",8h,GET /users/{user_id}/posts 공개/비공개 분기
[AUTH-018] follows 테이블 Entity 및 Repository 구현,Task,Highest,,인증/사용자,팔로우,Must,"담당자B",4h,Follow Entity/Repository
[AUTH-019] 팔로우 API 구현,Story,Highest,,인증/사용자,팔로우,Must,"담당자B",4h,POST /follows/{user_id}
[AUTH-020] 언팔로우 API 구현,Story,Highest,,인증/사용자,팔로우,Must,"담당자B",4h,DELETE /follows/{user_id}
[AUTH-021] SCR-050 프로필 화면 UI 구현,Story,Highest,,인증/사용자,프로필 화면,Must,"담당자B",12h,헤더/통계/옷장/게시물 그리드 프로필 화면
[AUTH-022] SCR-051 프로필 편집 화면 UI 및 API 연동,Story,Highest,,인증/사용자,프로필 화면,Must,"담당자B",8h,프로필 편집 화면
[AUTH-023] SCR-052 설정 화면 UI 구현,Story,Highest,,인증/사용자,프로필 화면,Must,"담당자B",8h,알림/로그아웃/탈퇴 설정 화면
[AUTH-024] 팔로우/언팔로우 버튼 UI 및 API 연동,Story,Highest,,인증/사용자,프로필 화면,Must,"담당자B",4h,팔로우 기능 FE
[AUTH-025] SCR-001 스플래시 화면 구현,Story,Highest,,인증/사용자,온보딩,Must,"담당자B",4h,앱 최초 실행 스플래시
[AUTH-026] SCR-002 온보딩 가이드 화면 구현,Story,Highest,,인증/사용자,온보딩,Must,"담당자B",8h,최초 로그인 전 온보딩 가이드
[AUTH-027] 소셜 로그인/JWT/사용자 관리 단위 테스트,Task,Highest,,인증/사용자,테스트,Must,"담당자B",8h,인증 도메인 단위 테스트
[AUTH-028] 로그인/프로필/설정 화면 UI 테스트,Task,Highest,,인증/사용자,테스트,Must,"담당자B",4h,인증 화면 UI 테스트
[TRYON-001] base_images 테이블 Entity 및 Repository 구현,Task,Highest,,AI 가상시착,베이스 이미지,Must,"담당자C",4h,BaseImage Entity/Repository
[TRYON-002] 내 베이스 이미지 목록 조회 API 구현,Story,Highest,,AI 가상시착,베이스 이미지,Must,"담당자C",4h,GET /users/me/base-images
[TRYON-003] 새 베이스 이미지 업로드 API 구현,Story,Highest,,AI 가상시착,베이스 이미지,Must,"담당자C",8h,POST /tryon/base-images (multipart/form-data)
[TRYON-004] 시착 결과를 베이스 이미지로 복제 등록 API,Story,Highest,,AI 가상시착,베이스 이미지,Must,"담당자C",8h,POST /tryon/base-images/from-post
[TRYON-005] 베이스 이미지 포맷/해상도/용량 서버 검증,Task,Highest,,AI 가상시착,베이스 이미지,Must,"담당자C",4h,JPG/PNG/HEIC 256x256 20MB 검증
[TRYON-006] tryon_credits 테이블 Entity 및 Repository 구현,Task,Highest,,AI 가상시착,크레딧 시스템,Must,"담당자C",4h,TryonCredit Entity/Repository
[TRYON-007] 크레딧 잔여 조회 API 구현,Story,Highest,,AI 가상시착,크레딧 시스템,Must,"담당자C",4h,GET /tryon/credits
[TRYON-008] 시착 성공 시 크레딧 차감 서비스 로직,Task,Highest,,AI 가상시착,크레딧 시스템,Must,"담당자C",4h,일일 5회 제한 차감 로직
[TRYON-009] KST 자정 기준 크레딧 리셋 스케줄러 구현,Task,Highest,,AI 가상시착,크레딧 시스템,Must,"담당자C",4h,Asia/Seoul 기준 매일 리셋
[TRYON-010] AI 시착 생성 요청 API 구현,Story,Highest,,AI 가상시착,AI 시착 생성,Must,"담당자C",12h,POST /tryon/generate
[TRYON-011] 외부 AI 모델 서버 비동기 호출 클라이언트 구현,Task,Highest,,AI 가상시착,AI 시착 생성,Must,"담당자C",16h,비동기 큐 처리 AI 서버 연동 모듈
[TRYON-012] SSE 스트림 서버 구현,Story,Highest,,AI 가상시착,AI 시착 생성,Must,"담당자C",12h,GET /tryon/status/{job_id} SSE 스트림
[TRYON-013] 시착 완료 시 비공개 게시물 자동 생성 로직,Task,Highest,,AI 가상시착,AI 시착 생성,Must,"담당자C",8h,is_public=false Post 자동 생성
[TRYON-014] 타임아웃/실패 시 자동 재시도 및 크레딧 보존,Task,Highest,,AI 가상시착,AI 시착 생성,Must,"담당자C",8h,ERR-103-B/C/D 에러 처리
[TRYON-015] 부적절 이미지 감지 시 생성 거부 처리,Task,Highest,,AI 가상시착,AI 시착 생성,Must,"담당자C",4h,ERR-103-D 이미지 필터링
[TRYON-016] SCR-020 AI 시착 홈 화면 구현,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",12h,크레딧 배지 / 최근 결과 / CTA 버튼
[TRYON-017] SCR-021 베이스 이미지 선택 화면 구현,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",12h,목록 / 업로드 / 시착물 재사용 선택
[TRYON-018] SCR-022 시착 옷 선택 화면 구현,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",12h,옷장 / 새 업로드 / 피드 3탭
[TRYON-019] SCR-023 시착 생성 중 대기 화면 구현,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",16h,프로그레스바 + 랜덤 인기 피드 숏폼 스와이프
[TRYON-020] SCR-024 시착 결과 화면 구현,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",12h,원본↔결과 비교 슬라이더 / 저장 / 공유
[TRYON-021] SSE 클라이언트 연동 및 실시간 UI 업데이트,Task,Highest,,AI 가상시착,시착 화면,Must,"담당자C",8h,processing→completed 전환
[TRYON-022] 크레딧 잔여 표시 배지 및 소진 안내 바텀시트,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",4h,N/5 크레딧 표시
[TRYON-023] 기기에서 베이스 이미지 업로드 FE 연동,Task,Highest,,AI 가상시착,시착 화면,Must,"담당자C",8h,갤러리/카메라 → multipart 전송
[TRYON-024] 디바이스 저장 및 피드 공개 전환 기능,Story,Highest,,AI 가상시착,시착 화면,Must,"담당자C",8h,공개 전환 시 캡션 바텀시트
[TRYON-025] AI 시착/크레딧/베이스이미지 단위 테스트,Task,Highest,,AI 가상시착,테스트,Must,"담당자C",8h,시착 도메인 단위 테스트
[TRYON-026] 시착 플로우 화면 UI/통합 테스트,Task,Highest,,AI 가상시착,테스트,Must,"담당자C",8h,시착 화면 UI 테스트
[CLOSET-001] clothing_images + closet_items Entity 및 Repository 구현,Task,Highest,,개인 옷장,아이템 관리,Must,"담당자D",4h,Closet Entity/Repository
[CLOSET-002] 아이템 추가 API 구현,Story,Highest,,개인 옷장,아이템 관리,Must,"담당자D",8h,POST /closet/items
[CLOSET-003] 아이템 목록 조회 API 구현,Story,Highest,,개인 옷장,아이템 관리,Must,"담당자D",8h,GET /closet/items (카테고리 필터/정렬/페이지네이션)
[CLOSET-004] 아이템 상세 조회 API 구현,Story,Highest,,개인 옷장,아이템 관리,Must,"담당자D",4h,GET /closet/items/{item_id}
[CLOSET-005] 아이템 수정 API 구현,Story,Highest,,개인 옷장,아이템 관리,Must,"담당자D",4h,PATCH /closet/items/{item_id} (카테고리/메모)
[CLOSET-006] 아이템 삭제 API 구현,Story,Highest,,개인 옷장,아이템 관리,Must,"담당자D",4h,DELETE /closet/items/{item_id} 소프트 딜리트
[CLOSET-007] 계정당 200개 상한 검증 로직 구현,Task,Highest,,개인 옷장,비즈니스 로직,Must,"담당자D",4h,ERR-201-A 상한 검증
[CLOSET-008] 타인 옷장에서 내 옷장으로 Deep Copy 로직,Task,Highest,,개인 옷장,비즈니스 로직,Must,"담당자D",4h,independent object 복사
[CLOSET-009] AI 시착 완료 시 옷장 자동 저장 연동,Task,Highest,,개인 옷장,비즈니스 로직,Must,"담당자D",4h,TRYON-013 연동 자동 저장
[CLOSET-010] Google Vision API 연동 서비스 구현,Task,High,,개인 옷장,유사 이미지 검색,Should,"담당자D",12h,일회성 검색 서비스
[CLOSET-011] 유사 이미지 검색 결과 반환 API 구현,Story,High,,개인 옷장,유사 이미지 검색,Should,"담당자D",8h,DB 미저장 일회성 반환
[CLOSET-012] SCR-030 개인 옷장 화면 구현,Story,Highest,,개인 옷장,옷장 화면,Must,"담당자D",12h,카테고리 탭 / 정렬 / 그리드↔리스트 전환
[CLOSET-013] SCR-031 아이템 상세 화면 구현,Story,Highest,,개인 옷장,옷장 화면,Must,"담당자D",8h,시착/복사 버튼 포함 상세 화면
[CLOSET-014] SCR-032 아이템 추가 화면 구현,Story,Highest,,개인 옷장,옷장 화면,Must,"담당자D",8h,업로드 / 카테고리 / 메모 입력
[CLOSET-015] 아이템 편집/삭제 UI 구현,Story,Highest,,개인 옷장,옷장 화면,Must,"담당자D",4h,편집/삭제 확인 다이얼로그
[CLOSET-016] 옷장 CRUD API 클라이언트 연동,Task,Highest,,개인 옷장,옷장 화면,Must,"담당자D",8h,전체 API 클라이언트 연동 및 바인딩
[CLOSET-017] Vision API 검색 결과 일회성 UI 표출,Story,High,,개인 옷장,옷장 화면,Should,"담당자D",8h,외부 링크 연동 검색 결과 UI
[CLOSET-018] EmptyState UI 구현,Story,Highest,,개인 옷장,옷장 화면,Must,"담당자D",4h,아이템 없을 때 빈 상태 안내
[CLOSET-019] 옷장 CRUD/비즈니스 로직 단위 테스트,Task,Highest,,개인 옷장,테스트,Must,"담당자D",4h,옷장 도메인 단위 테스트
[CLOSET-020] 옷장 화면 UI 테스트,Task,Highest,,개인 옷장,테스트,Must,"담당자D",4h,옷장 화면 UI 테스트
[FEED-001] posts 테이블 Entity 및 Repository 구현,Task,Highest,,커뮤니티 피드,게시물 관리,Must,"담당자E",4h,Post Entity/Repository
[FEED-002] 게시물 작성 API 구현,Story,Highest,,커뮤니티 피드,게시물 관리,Must,"담당자E",8h,POST /posts (이미지 1장 필수)
[FEED-003] 피드 목록 조회 API 구현,Story,Highest,,커뮤니티 피드,게시물 관리,Must,"담당자E",12h,GET /posts (전체/팔로잉 탭 + 최신/인기순)
[FEED-004] 게시물 상세 조회 API 구현,Story,Highest,,커뮤니티 피드,게시물 관리,Must,"담당자E",4h,GET /posts/{post_id} (is_liked 포함)
[FEED-005] 게시물 삭제 API 구현,Story,Highest,,커뮤니티 피드,게시물 관리,Must,"담당자E",4h,DELETE /posts/{post_id}
[FEED-006] 비공개 게시물 공개 전환 로직 구현,Task,Highest,,커뮤니티 피드,게시물 관리,Must,"담당자E",4h,is_public false→true 시착 결과 공유
[FEED-007] likes 테이블 Entity 및 Repository 구현,Task,High,,커뮤니티 피드,좋아요,Should,"담당자E",4h,UNIQUE(post_id+user_id) Like Entity
[FEED-008] 좋아요 토글 API 구현,Story,High,,커뮤니티 피드,좋아요,Should,"담당자E",8h,POST /posts/{post_id}/likes (like_count 동기화)
[FEED-009] comments 테이블 Entity 및 Repository 구현,Task,Medium,,커뮤니티 피드,댓글,Could,"담당자E",4h,대댓글 depth 1-2 Comment Entity
[FEED-010] 댓글 목록 조회 API 구현,Story,Medium,,커뮤니티 피드,댓글,Could,"담당자E",8h,GET /posts/{post_id}/comments (대댓글 포함)
[FEED-011] 댓글 작성 API 구현,Story,Medium,,커뮤니티 피드,댓글,Could,"담당자E",4h,POST /posts/{post_id}/comments (parent_comment_id)
[FEED-012] 댓글 삭제 API 구현,Story,Medium,,커뮤니티 피드,댓글,Could,"담당자E",4h,DELETE /comments/{comment_id}
[FEED-013] reports 테이블 Entity 및 Repository 구현,Task,High,,커뮤니티 피드,신고,Should,"담당자E",4h,UNIQUE(post_id+reporter_id) Report Entity
[FEED-014] 게시물 신고 API 구현,Story,High,,커뮤니티 피드,신고,Should,"담당자E",4h,POST /posts/{post_id}/report (중복 방지)
[FEED-015] 신고 N회 누적 자동 블라인드 트리거 구현,Task,High,,커뮤니티 피드,신고,Should,"담당자E",8h,5회 이상 신고 시 is_blinded=true
[FEED-016] SCR-010 홈 피드 화면 구현,Story,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",12h,2열 그리드 / 전체-팔로잉 탭 피드
[FEED-017] 최신순/인기순 정렬 토글 구현,Story,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",4h,정렬 토글 UI
[FEED-018] 피드 무한 스크롤 및 이미지 Lazy Load,Task,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",8h,무한 스크롤 + Lazy Load
[FEED-019] SCR-011 게시물 상세 화면 구현,Story,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",12h,이미지/캡션/좋아요/댓글/신고 상세
[FEED-020] SCR-012 게시물 작성 화면 구현,Story,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",8h,이미지 1장 / 캡션 / 공개 여부
[FEED-021] 좋아요 버튼 UI 및 낙관적 업데이트 구현,Story,High,,커뮤니티 피드,피드 화면,Should,"담당자E",4h,실패 시 롤백
[FEED-022] 댓글 목록/작성/대댓글 UI 구현,Story,Medium,,커뮤니티 피드,피드 화면,Could,"담당자E",12h,2 depth 대댓글 UI
[FEED-023] 게시물 신고 UI 구현,Story,High,,커뮤니티 피드,피드 화면,Should,"담당자E",4h,신고 버튼 / 사유 입력 / 중복 안내
[FEED-024] 피드 CRUD API 클라이언트 연동,Task,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",8h,전체 API 클라이언트 연동 및 바인딩
[FEED-025] 비로그인 사용자 피드 열람 및 로그인 유도,Story,Highest,,커뮤니티 피드,피드 화면,Must,"담당자E",4h,시착/좋아요/댓글 시 로그인 유도 바텀시트
[FEED-026] 피드/좋아요/댓글/신고 단위 테스트,Task,Highest,,커뮤니티 피드,테스트,Must,"담당자E",8h,피드 도메인 단위 테스트
[FEED-027] 피드 화면 UI 테스트,Task,Highest,,커뮤니티 피드,테스트,Must,"담당자E",4h,피드 화면 UI 테스트
[ADMIN-001] Admin role 검증 미들웨어 구현,Task,High,,관리자,관리자,Should,"담당자A",4h,role=admin 권한 체크 필터
[ADMIN-002] 신고 목록 조회 Admin API 구현,Story,High,,관리자,관리자,Should,"담당자A",4h,GET /admin/reports
[ADMIN-003] 게시물 강제 블라인드 Admin API 구현,Story,High,,관리자,관리자,Should,"담당자A",4h,PATCH /admin/posts/{post_id}/blind
[ADMIN-004] 블라인드 해제 Admin API 구현,Story,High,,관리자,관리자,Should,"담당자A",4h,PATCH /admin/posts/{post_id}/unblind
[ADMIN-005] 악성 유저 정지 Admin API 구현,Story,High,,관리자,관리자,Should,"담당자A",4h,PATCH /admin/users/{user_id}/suspend (is_active=false)
[ADMIN-006] 크레딧 수동 지급 Admin API 구현,Story,High,,관리자,관리자,Should,"담당자A",4h,POST /admin/users/{user_id}/credits
[QA-001] 주요 도메인 간 API 통합 시나리오 테스트,Task,Highest,,QA/통합,통합 테스트,Must,"전원",16h,시착→게시물→피드 흐름 통합 테스트
[QA-002] End-to-End 시나리오 테스트 수행,Task,Highest,,QA/통합,통합 테스트,Must,"전원",16h,주요 사용자 시나리오 E2E 테스트
[QA-003] 전체 기능 QA 수행 및 버그 수정,Task,Highest,,QA/통합,전체 QA,Must,"전원",24h,MVP 출시 전 전체 QA
